Date	AAPL	ABBV	ALL	BA	BIIB	COP	DE	DVN	EL	EQT	GOOGL	HII	INTC	KDP	MSFT	NEE	NFLX	PAYC	PFE	QRVO	ROP	SMCI	TSLA	UAL
2024-08-30 00:00:00+00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-09-03 00:00:00+00:00	0	0	0	0	0	32	0	9	20	0	0	22	0	0	0	0	3	0	2	0	23	0	0	0
2024-09-04 00:00:00+00:00	13	0	0	0	32	0	11	0	0	0	18	11	0	0	0	0	0	30	0	0	49	0	0	0
2024-09-05 00:00:00+00:00	24	0	4	0	54	0	28	0	18	0	51	0	36	0	0	16	21	0	0	0	88	0	0	0
2024-09-06 00:00:00+00:00	0	27	0	0	65	0	66	3	39	0	90	0	83	0	0	0	64	3	0	0	80	0	0	0
2024-09-09 00:00:00+00:00	18	0	0	0	85	0	98	0	56	3	122	0	65	0	0	22	44	12	0	0	76	0	0	0
2024-09-10 00:00:00+00:00	0	12	0	0	36	0	123	0	18	39	117	4	95	0	0	68	87	57	0	0	118	0	0	0
2024-09-11 00:00:00+00:00	0	7	0	0	44	0	98	8	0	61	147	0	64	0	0	91	61	79	0	0	167	0	0	0
2024-09-12 00:00:00+00:00	0	0	0	0	44	0	55	0	31	37	153	21	84	0	0	55	97	66	0	0	135	0	0	30
2024-09-13 00:00:00+00:00	0	0	0	34	77	0	48	0	40	86	138	53	94	0	0	31	79	111	0	0	87	23	22	37
2024-09-16 00:00:00+00:00	0	0	0	34	42	0	97	0	53	64	171	52	102	44	0	39	38	70	0	0	74	25	0	75
2024-09-17 00:00:00+00:00	0	14	0	72	60	0	102	0	74	47	216	49	78	63	0	0	80	114	0	0	38	8	0	35
2024-09-18 00:00:00+00:00	0	27	0	88	31	0	67	0	67	32	261	26	55	74	0	0	107	102	0	0	47	53	0	67
2024-09-19 00:00:00+00:00	0	8	0	65	50	0	45	0	108	61	255	26	67	92	0	0	128	94	0	0	95	29	0	32
2024-09-20 00:00:00+00:00	0	0	0	45	62	0	9	0	147	108	230	1	71	48	0	0	128	121	0	0	82	0	0	63
2024-09-23 00:00:00+00:00	0	0	0	12	14	0	0	0	169	153	193	10	40	63	0	0	113	119	0	0	86	32	21	97
2024-09-24 00:00:00+00:00	0	0	0	9	0	0	26	0	175	127	153	59	37	73	0	0	117	141	0	0	75	0	17	78
2024-09-25 00:00:00+00:00	0	0	0	0	8	0	35	0	184	80	152	19	82	88	0	0	99	127	0	0	70	0	0	45
2024-09-26 00:00:00+00:00	0	0	0	0	16	0	8	0	140	61	197	26	50	53	0	0	129	150	0	0	118	11	1	7
2024-09-27 00:00:00+00:00	0	14	0	0	32	0	23	0	166	78	152	70	18	38	0	0	89	150	0	0	102	26	0	10
2024-09-30 00:00:00+00:00	0	5	0	0	1	0	14	0	210	97	107	69	46	63	0	0	102	184	0	0	94	0	0	0
